"docname","sentence","datelabel","isodate"
"Revision of the Energy Tax Directive","The differentiated rate on commercial use of gas oil used as propellant may also be applied for taxis until 1 January 2012","1 january 2012","2012-01-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","From 1 January 2010 until 1 January 2012, it may apply a differentiated rate on commercial use of gas oil used as propellant, provided that it does not result in taxation at below EUR 302 per 1000 l and that the national levels of taxation in force on 1 January 2010 are not reduced","1 january 2012","2012-01-01"
"Proposal for a Directive on energy efficiency (recast)","(112)    Directive 2011/83/EU of the European Parliament and of the Council of 25 October 2011 on consumer rights, amending Council Directive 93/13/EEC and Directive 1999/44/EC of the European Parliament and of the Council and repealing Council Directive 85/577/EEC and Directive 97/7/EC of the European Parliament and of the Council (OJ L 304, 22","october 2011","2011-10-01"
"Proposal for a Directive on energy efficiency (recast)","🡻 2012/27/EU recital 65 (adapted) ⇨ new (131)This Directive should be without prejudice to ⇨ does not affect ⇦ the obligations of the Member States relating to the time-limits for ⌦ the ⌫ transposition into national law and application of ⌦ the ⌫ Directives ⌦ set out in Annex XV, Part B ⌫ 2004/8/EC and 2006/32/EC, 🡻 2012/27/EU recital 66 (adapted) In accordance with the Joint Political Declaration of Member States and the Commission on explanatory documents of 28 September 2011, Member States have undertaken to accompany, in justified cases, the notification of their transposition measures with one or more documents explaining the relationship between the components of a directive and the corresponding parts of national transposition instruments","28 september 2011","2011-09-28"
"Proposal for a Directive on energy efficiency (recast)","🡻 2012/27/EU recital 16 (adapted) Bearing in mind that the Council conclusions of 10 June 2011 on the Energy Efficiency Plan 2011 stressed that buildings represent 40 % of the Union’s final energy consumption, and in order to capture the growth and employment opportunities in the skilled trades and construction sectors, as well as in the production of construction products and in professional activities such as architecture, consultancy and engineering, Member States should establish a long-term strategy beyond 2020 for mobilising investment in the renovation of residential and commercial buildings with a view to improving the energy performance of the building stock","10 june 2011","2011-06-10"
"Proposal for a Directive on energy efficiency (recast)","(6)    Regulation (EU) No 510/2011 of the European Parliament and of the Council of 11 May 2011 setting emission performance standards for new light commercial vehicles as part of the Union's integrated approach to reduce CO2 emissions from light-duty vehicles (OJ L 145, 31","may 2011","2011-05-01"
"Proposal for a Directive on energy efficiency (recast)","Energy efficiency in the transport sector was considered in parallel in the White Paper on Transport, adopted on 28 March 2011","28 march 2011","2011-03-28"
"Proposal for a Directive on energy efficiency (recast)","🡻 2012/27/EU recital 8 (adapted) On 8 March 2011, the Commission adopted its Communication on an Energy Efficiency Plan 2011","8 march 2011","2011-03-08"
"Proposal for a Directive on energy efficiency (recast)","🡻 2012/27/EU recital 9 (adapted) On 8 March 2011, the Commission also adopted a Roadmap for moving to a competitive low carbon economy in 2050, identifying the need from this perspective for more focus on energy efficiency","8 march 2011","2011-03-08"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","(44)    Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission’s exercise of implementing powers (OJ L 55, 28","february 2011","2011-02-01"
"Revision of the Energy Tax Directive","21) (51)    Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission’s exercise of implementing powers (OJ L 55, 28","february 2011","2011-02-01"
"Revision of the EU Emission Trading System for Aviation","(19)    Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by the Member States of the Commission's exercise of implementing powers (OJ L 55, 28","february 2011","2011-02-01"
"Revision of the Energy Tax Directive","(38)    Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission’s exercise of implementing powers (OJ L 55, 28","february 2011","2011-02-01"
"Revision of the EU Emission Trading System for Aviation","(18)    Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by the Member States of the Commission's exercise of implementing powers (OJ L 55, 28","february 2011","2011-02-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","(37)    Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission’s exercise of implementing powers (OJ L 55, 28","february 2011","2011-02-01"
"Carbon border adjustment mechanism","(52)    Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by the Member States of the Commission's exercise of implementing powers (OJ L 55, 28","february 2011","2011-02-01"
"Proposal for a Directive on energy efficiency (recast)","(101)    Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission’s exercise of implementing powers (OJ L 55, 28","february 2011","2011-02-01"
"Proposal for a Directive on energy efficiency (recast)","🡻 2012/27/EU recital 7 (adapted) The Conclusions of the European Council of 4 February 2011 acknowledged that the Union energy efficiency target is not on track and that determined action is required to tap the considerable potential for higher energy savings in buildings, transport, products and processes","february 2011","2011-02-01"
"Proposal for a Directive on energy efficiency (recast)","Those powers should be exercised in accordance with Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission’s exercise of implementing powers 101","february 2011","2011-02-01"
